Timestamp,Product,Price,Website
2026-02-26 00:00:05,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 02:51:15,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 04:47:33,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 05:47:53,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 06:42:23,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 07:40:36,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 08:28:39,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 09:29:06,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 10:27:25,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 11:25:00,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 12:02:20,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 13:41:07,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 14:36:57,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 15:35:24,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 16:37:29,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 17:44:58,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 18:32:51,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 19:29:40,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 20:04:59,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 20:54:18,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 21:34:57,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 22:00:55,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 22:49:23,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 23:20:16,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-26 23:51:18,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-27 01:27:42,Acer Predator Helios Neo 16 (Amazon),168990,Amazon
2026-02-27 13:40:37,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 14:27:32,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 15:09:59,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 15:56:06,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 16:50:25,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 17:28:10,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 18:04:04,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 19:01:31,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 19:43:19,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 20:02:27,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 20:42:37,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 21:03:55,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 21:42:46,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 22:00:04,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 22:37:27,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 22:57:53,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 23:34:15,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-27 23:54:33,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 02:08:04,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 04:02:28,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 05:00:47,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 05:45:21,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 06:18:55,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-02-28 06:59:34,Acer Predator Helios Neo 16 (Amazon),149490,Amazon
2026-06-06 19:44:53,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-06 23:02:06,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-07 00:15:13,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-07 04:59:39,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-07 08:27:52,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-07 21:22:34,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-07 23:42:38,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-08 12:06:08,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-08 21:07:33,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-08 23:56:07,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-09 11:28:52,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-09 14:01:10,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-09 19:00:27,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-10 00:02:09,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-10 04:42:37,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-10 08:38:34,Lenovo Legion 5 (Amazon),208490,Amazon
2026-06-10 11:59:49,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-10 16:00:55,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-10 18:38:43,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-10 21:14:58,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-10 22:59:36,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-11 11:07:54,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-11 20:38:31,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-11 22:29:13,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 00:07:02,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 05:01:12,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 09:08:37,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-12 12:30:14,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-12 15:49:55,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 17:59:00,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 20:21:22,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 22:04:11,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-12 23:45:12,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 01:54:35,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 06:19:49,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 09:41:07,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 11:32:21,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 13:10:52,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 15:12:09,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 16:50:17,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 18:02:53,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-13 19:50:58,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-14 06:53:15,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-14 12:23:28,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-14 14:40:14,Lenovo Legion 5 (Amazon),215800,Amazon
2026-06-14 17:51:17,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-14 21:59:02,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-14 23:21:35,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-15 01:58:13,Lenovo Legion 5 (Amazon),215861,Amazon
2026-06-16 12:31:55,Lenovo Legion 5 (Amazon),215861,Amazon
